time_start_time-trial,time_end_time-trial,rotation,chart-type,workerID,log-error,totalSequence,judged-true,ans-percentage-diff,opposite-ans,ans-trial,correct-ans,time_diff_time-trial
1452625262291,1452625265627,269.7265757806599,exploded,LB20FP13,0.16992500144231237,26,1,0.015384615384615385,35,66,65,3.336
1452625265627,1452625275531,304.6938664186746,outerRadius,LB20FP13,2.0443941193584534,27,4,0.25,84,20,16,9.904
1452625225643,1452625231019,11.524576982483268,pie,LB20FP13,2.0443941193584534,20,4,0.0784313725490196,49,55,51,5.376
1452625231020,1452625245043,15.231335358694196,ellipse,LB20FP13,0.16992500144231237,21,1,0.014492753623188406,31,70,69,14.023
1452625245043,1452625249243,226.89935225062072,ellipse,LB20FP13,0.16992500144231237,22,1,0.02040816326530612,51,50,49,4.2
1452625249243,1452625252483,243.58948593959212,exploded,LB20FP13,2.357552004618084,23,5,0.08196721311475409,39,66,61,3.24
1452625407354,1452625415529,89.55893880687654,square,LB20FP13,0.16992500144231237,46,-1,-0.015151515151515152,34,65,66,8.175
1452625415530,1452625419865,171.54464470222592,exploded,LB20FP13,0.16992500144231237,47,-1,-0.013157894736842105,24,75,76,4.335
1452625387666,1452625401937,87.09178688004613,outerRadius,LB20FP13,2.6147098441152083,44,-6,-0.06976744186046512,14,80,86,14.271
1452625419865,1452625424873,140.34608948975801,pie,LB20FP13,1.0874628412503393,48,-2,-0.0425531914893617,53,45,47,5.008
1452625374714,1452625381609,314.7706172335893,square,LB20FP13,0.16992500144231237,42,-1,-0.024390243902439025,59,40,41,6.895
1452625381610,1452625387665,339.93821944110096,square,LB20FP13,3.0223678130284544,43,-8,-0.09090909090909091,12,80,88,6.055
1452625364770,1452625370361,22.065957225859165,exploded,LB20FP13,1.0874628412503393,40,-2,-0.038461538461538464,48,50,52,5.591
1452625370362,1452625374713,326.01502985693514,ellipse,LB20FP13,3.189824558880017,41,9,0.8181818181818182,89,20,11,4.351
1452625083029,1452625089195,107.23913761787117,pie,LB20FP13,0.16992500144231237,1,-1,-0.013157894736842105,24,75,76,6.166
1452625069199,1452625083029,100.25767042301595,square,LB20FP13,3.9188632372745946,0,-15,-0.18518518518518517,19,66,81,13.83
1452625107660,1452625114564,44.95754876174033,exploded,LB20FP13,0.16992500144231237,3,1,0.03125,68,33,32,6.904
